City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,42.6001,6.23,64,69,0.45,US,1711881536
1,sisimiut,66.9395,66.9395,-2.18,72,100,4.22,GL,1711961061
2,kuqa,41.7278,41.7278,5.95,61,100,5.31,CN,1711930255
3,waingapu,-9.6567,-9.6567,29.41,71,100,1.94,ID,1711922543
4,campbellton,48.0075,48.0075,-0.75,91,35,2.4,CA,1711879557
5,utrik,11.2278,11.2278,26.95,77,87,9.48,MH,1711910241
6,poronaysk,49.2167,49.2167,1.66,81,70,1.31,RU,1711915496
7,grytviken,-54.2811,-54.2811,-2.86,68,15,1.14,GS,1711961424
8,trinidad,-14.8333,-14.8333,24.82,92,38,1.33,BO,1711880680
9,yulinshi,38.2906,38.2906,18.45,45,95,5.92,CN,1711923954
10,west island,-12.1568,-12.1568,29.99,79,100,6.17,CC,1711928218
11,edinburgh of the seven seas,-37.0676,-37.0676,17.15,74,100,6.28,SH,1711954978
12,glace bay,46.1969,46.1969,-0.48,78,75,2.24,CA,1711878030
13,iqaluit,63.7506,63.7506,1.85,80,100,16.46,CA,1711878863
14,nelson bay,-32.7167,-32.7167,27.03,69,0,5.81,AU,1711915373
15,botshabelo,-29.2702,-29.2702,14.65,77,100,1.3,ZA,1711945410
16,puerto ayora,-0.7393,-0.7393,25.86,94,5,2.68,EC,1711886528
17,olonkinbyen,70.9221,70.9221,-7.9,70,100,8.85,SJ,1711949560
18,fortuna,40.5982,40.5982,12.19,81,16,3.58,US,1711893643
19,margaret river,-33.95,-33.95,17.99,47,0,4.62,AU,1711924308
20,gadzhiyevo,69.2551,69.2551,-10.26,91,82,4.39,RU,1711939844
21,huarmey,-10.0681,-10.0681,23.16,81,93,4.02,PE,1711883772
22,san luis de la loma,17.2706,17.2706,24.83,78,8,2.96,MX,1711888703
23,visby,57.6409,57.6409,3.12,93,100,2.06,SE,1711944863
24,port mathurin,-19.6833,-19.6833,26.82,82,100,2.89,MU,1711936386
25,jamestown,42.097,42.097,4.45,97,40,2.06,US,1711882818
26,hermanus,-34.4187,-34.4187,16.0,77,11,6.43,ZA,1711947331
27,qaqortoq,60.7167,60.7167,-6.94,74,95,2.45,GL,1711959998
28,adamstown,-25.066,-25.066,22.95,73,100,15.75,PN,1711896534
29,morondava,-20.2833,-20.2833,25.29,81,0,2.18,MG,1711940992
30,ilulissat,69.2167,69.2167,-2.99,74,100,3.09,GL,1711960052
31,ubari,26.5921,26.5921,23.07,14,1,3.49,LY,1711947560
32,acarau,-2.8856,-2.8856,24.88,87,100,1.79,BR,1711874514
33,lihue,21.9789,21.9789,25.77,67,20,5.14,US,1711902622
34,mont-laurier,46.5501,46.5501,-1.21,65,19,0.25,CA,1711881739
35,constantia,44.1833,44.1833,15.39,66,7,3.58,RO,1711943167
36,yuzhno-kurilsk,44.0306,44.0306,4.1,66,5,0.85,RU,1711915079
37,san antonio de pale,-1.4014,-1.4014,28.91,74,98,3.49,GQ,1711949892
38,bilibino,68.0546,68.0546,-22.22,73,28,0.95,RU,1711908209
